"dateCreated","merchantId","merchantName","status","terminalId","serialNumber"
"2025-05-23T21:46:28Z","249846284023568","PORTLAND",true,"2BFS9156",
"2025-05-23T21:46:23Z","2BFS79902673922","Opay",true,"3G397286",
"2025-05-23T16:13:06Z","2BFS71358321641","Access",true,"2BFS9155",
"2025-05-23T16:13:02Z","2BFS81078525083","Bobby Willis",true,"3G802625",
"2025-05-23T13:30:31Z","249846284023568","PORTLAND",true,"2BFS9154",
"2025-05-23T13:30:25Z","2BFS27774458711","Blue Ray",true,"3G645142",
"2025-05-23T10:49:30Z","2BFS56156711700","FCMB",false,"2BFS9153",
"2025-05-22T20:47:01Z","2BFS47635711600","Ike Universal",true,"2BFS9152",
"2025-05-22T20:46:56Z","2BFS21671539554","Vivian",true,"3G577030",
"2025-05-22T20:44:37Z","2BFS81646068491","Kitan Solutions",true,"2BFS9151",
